Designator,Mid X,Mid Y,Rotation,Layer
D10,59.698016,128.539629,285.0,bottom
D12,86.328145,158.377961,285.0,bottom
D13,81.928219,141.957221,285.0,bottom
D14,77.528295,125.536483,285.0,bottom
D15,86.680136,84.610339,105.0,bottom
D16,103.271192,152.063622,285.0,bottom
D17,98.871268,135.642881,285.0,bottom
D18,94.471344,119.222139,285.0,bottom
D19,103.250658,77.374121,105.0,bottom
D20,119.967586,144.828753,285.0,bottom
D21,115.567663,128.408011,285.0,bottom
D22,111.167737,111.987275,285.0,bottom
D23,120.27469,61.79907,135.0,bottom
D24,175.261014,142.126177,255.0,bottom
D25,179.660937,125.705437,255.0,bottom
D26,184.060859,109.284699,255.0,bottom
D27,194.383297,70.044836,45.0,bottom
D28,191.957408,149.361044,255.0,bottom
D29,196.35733,132.940303,255.0,bottom
D30,200.757253,116.519564,255.0,bottom
D31,214.467745,80.302636,75.0,bottom
D32,208.900454,155.675383,255.0,bottom
D33,213.30038,139.254646,255.0,bottom
D34,217.700302,122.833906,255.0,bottom
D35,231.127745,87.61264,75.0,bottom
D36,226.730736,158.678531,255.0,bottom
D37,231.130661,142.257788,255.0,bottom
D38,235.530584,125.83705,255.0,bottom
D40,245.497942,158.185023,255.0,bottom
D41,249.897867,141.764283,255.0,bottom
D42,254.297791,125.343544,255.0,bottom
D5,49.730658,160.8876,285.0,bottom
D6,45.330732,144.46686,285.0,bottom
D7,40.930811,128.046122,285.0,bottom
D8,68.497863,161.381107,285.0,bottom
D9,64.09794,144.960369,285.0,bottom
FPC1,135.51286844104104,124.05196066790562,165.0,bottom
SW11,52.55595669401404,154.72124128483773,345.0,top
SW12,84.75351969401405,135.79086828483773,345.0,top
SW13,80.35359769401404,119.37012628483774,345.0,top
SW14,83.85483730598595,90.77669271516226,165.0,top
SW15,106.09649069401404,145.89726228483772,345.0,top
SW16,101.69656869401405,129.47652428483775,345.0,top
SW17,97.29664569401405,113.05578928483774,345.0,top
SW18,100.42536030598596,83.54047571516226,165.0,top
SW19,122.79288569401405,138.6623972848377,345.0,top
SW20,118.39296069401404,122.24166028483774,345.0,top
SW21,113.99303669401404,105.82092028483774,345.0,top
SW22,120.91108659672905,68.55194159222874,135.0,top
SW23,180.79097111843322,138.1986051017853,15.0,top
SW24,185.19089411843322,121.7778661017853,15.0,top
SW25,189.59082011843321,105.35712710178531,15.0,top
SW26,187.63042540777127,70.68123159672906,225.0,top
SW27,197.48736611843321,145.4334741017853,15.0,top
SW28,201.88728911843322,129.0127341017853,15.0,top
SW29,206.2872151184332,112.5919951017853,15.0,top
SW30,208.93778488156678,84.2302068982147,195.0,top
SW31,214.43041611843321,151.7478101017853,15.0,top
SW32,218.83033911843322,135.3270711017853,15.0,top
SW33,223.23026111843322,118.9063371017853,15.0,top
SW34,225.59778488156678,91.5402078982147,195.0,top
SW35,232.2606941184332,154.7509601017853,15.0,top
SW36,236.6606181184332,138.3302191017853,15.0,top
SW37,241.0605421184332,121.9094811017853,15.0,top
SW39,89.15344169401405,152.21160328483774,345.0,top
SW40,259.8277481184332,121.4159771017853,15.0,top
SW43,251.0279001184332,154.2574511017853,15.0,top
SW44,255.4278241184332,137.8367171017853,15.0,top
SW5,48.15603369401404,138.30050428483773,345.0,top
SW6,43.75610669401404,121.87976428483773,345.0,top
SW7,71.32316069401405,155.21474928483772,345.0,top
SW8,66.92323869401405,138.79401228483772,345.0,top
SW9,62.523315694014045,122.37327528483773,345.0,top
